State,Year,Deaths,Population,Crude Rate,All_teeth_lost_among_adults_aged___65_years,Disability,Arthritis_among_adults,Binge_drinking_among_adults,Cancer__non_skin__or_melanoma_among_adults,Cholesterol_screening_among_adults,Chronic_obstructive_pulmonary_disease_among_adults,Cognitive_disability_among_adults,Colorectal_cancer_screening_among_adults_aged_45_75_years,Coronary_heart_disease_among_adults,Current_asthma_among_adults,Current_cigarette_smoking_among_adults,Lack_Insurance,Depression,Diagnosed_diabetes_among_adults,Fair_or_poor_self_rated_health_status_among_adults,Food_Insecurity,Frequent_mental_distress_among_adults,Frequent_physical_distress_among_adults,Hearing_disability_among_adults,High_blood_pressure_among_adults,High_cholesterol_among_adults_who_have_ever_been_screened,Housing_insecurity_in_the_past_12_months_among_adults,Independent_living_disability_among_adults,Lack_of_reliable_transportation_in_the_past_12_months_among_adults,Lack_of_social_and_emotional_support_among_adults,Loneliness_among_adults,Mammography_use_among_women_aged_50_74_years,Mobility_disability_among_adults,No_leisure_time_physical_activity_among_adults,Obesity_among_adults,Received_food_stamps_in_the_past_12_months_among_adults,Self_care_disability_among_adults,Short_Sleep,Stroke_among_adults,Taking_medicine_to_control_high_blood_pressure_among_adults_with_high_blood_pressure,Utility_services_shut_off_threat_in_the_past_12_months_among_adults,Vision_disability_among_adults,Visited_dentist_or_dental_clinic_in_the_past_year_among_adults,Visits_to_doctor_for_routine_checkup_within_the_past_year_among_adults,Crude_Rate
Alabama,1999,195,4430141,4.4,19.2634328358208,39.1738805970149,30.5014925373134,13.9492537313432,7.60074626865671,84.1843283582089,8.86268656716417,18.0768656716417,62.3917910447761,7.55895522388059,10.5328358208955,17.720895522388,11.4582089552238,24.1649253731343,15.3582089552238,25.826119402985,23.3746268656716,18.6902985074626,15.3559701492537,8.46417910447761,44.1507462686567,39.1679104477611,16.7179104477611,11.2231343283582,11.7044776119403,26.5194029850746,36.5194029850746,75.5231343283582,18.4805970149253,31.5335820895522,41.8283582089552,18.3753731343283,5.27910447761194,41.1634328358208,4.41119402985074,70.6910447761194,11.8425373134328,6.90373134328358,52.876119402985,79.8067164179104,4.4
Alabama,2000,232,4447100,5.2,19.2634328358208,39.1738805970149,30.5014925373134,13.9492537313432,7.60074626865671,84.1843283582089,8.86268656716417,18.0768656716417,62.3917910447761,7.55895522388059,10.5328358208955,17.720895522388,11.4582089552238,24.1649253731343,15.3582089552238,25.826119402985,23.3746268656716,18.6902985074626,15.3559701492537,8.46417910447761,44.1507462686567,39.1679104477611,16.7179104477611,11.2231343283582,11.7044776119403,26.5194029850746,36.5194029850746,75.5231343283582,18.4805970149253,31.5335820895522,41.8283582089552,18.3753731343283,5.27910447761194,41.1634328358208,4.41119402985074,70.6910447761194,11.8425373134328,6.90373134328358,52.876119402985,79.8067164179104,5.2
Alabama,2001,253,4467634,5.7,19.2634328358208,39.1738805970149,30.5014925373134,13.9492537313432,7.60074626865671,84.1843283582089,8.86268656716417,18.0768656716417,62.3917910447761,7.55895522388059,10.5328358208955,17.720895522388,11.4582089552238,24.1649253731343,15.3582089552238,25.826119402985,23.3746268656716,18.6902985074626,15.3559701492537,8.46417910447761,44.1507462686567,39.1679104477611,16.7179104477611,11.2231343283582,11.7044776119403,26.5194029850746,36.5194029850746,75.5231343283582,18.4805970149253,31.5335820895522,41.8283582089552,18.3753731343283,5.27910447761194,41.1634328358208,4.41119402985074,70.6910447761194,11.8425373134328,6.90373134328358,52.876119402985,79.8067164179104,5.7
Alabama,2002,248,4480089,5.5,19.2634328358208,39.1738805970149,30.5014925373134,13.9492537313432,7.60074626865671,84.1843283582089,8.86268656716417,18.0768656716417,62.3917910447761,7.55895522388059,10.5328358208955,17.720895522388,11.4582089552238,24.1649253731343,15.3582089552238,25.826119402985,23.3746268656716,18.6902985074626,15.3559701492537,8.46417910447761,44.1507462686567,39.1679104477611,16.7179104477611,11.2231343283582,11.7044776119403,26.5194029850746,36.5194029850746,75.5231343283582,18.4805970149253,31.5335820895522,41.8283582089552,18.3753731343283,5.27910447761194,41.1634328358208,4.41119402985074,70.6910447761194,11.8425373134328,6.90373134328358,52.876119402985,79.8067164179104,5.5
Alabama,2003,255,4503491,5.7,19.2634328358208,39.1738805970149,30.5014925373134,13.9492537313432,7.60074626865671,84.1843283582089,8.86268656716417,18.0768656716417,62.3917910447761,7.55895522388059,10.5328358208955,17.720895522388,11.4582089552238,24.1649253731343,15.3582089552238,25.826119402985,23.3746268656716,18.6902985074626,15.3559701492537,8.46417910447761,44.1507462686567,39.1679104477611,16.7179104477611,11.2231343283582,11.7044776119403,26.5194029850746,36.5194029850746,75.5231343283582,18.4805970149253,31.5335820895522,41.8283582089552,18.3753731343283,5.27910447761194,41.1634328358208,4.41119402985074,70.6910447761194,11.8425373134328,6.90373134328358,52.876119402985,79.8067164179104,5.7
Alabama,2004,327,4530729,7.2,19.2634328358208,39.1738805970149,30.5014925373134,13.9492537313432,7.60074626865671,84.1843283582089,8.86268656716417,18.0768656716417,62.3917910447761,7.55895522388059,10.5328358208955,17.720895522388,11.4582089552238,24.1649253731343,15.3582089552238,25.826119402985,23.3746268656716,18.6902985074626,15.3559701492537,8.46417910447761,44.1507462686567,39.1679104477611,16.7179104477611,11.2231343283582,11.7044776119403,26.5194029850746,36.5194029850746,75.5231343283582,18.4805970149253,31.5335820895522,41.8283582089552,18.3753731343283,5.27910447761194,41.1634328358208,4.41119402985074,70.6910447761194,11.8425373134328,6.90373134328358,52.876119402985,79.8067164179104,7.2
Alabama,2005,332,4569805,7.3,19.2634328358208,39.1738805970149,30.5014925373134,13.9492537313432,7.60074626865671,84.1843283582089,8.86268656716417,18.0768656716417,62.3917910447761,7.55895522388059,10.5328358208955,17.720895522388,11.4582089552238,24.1649253731343,15.3582089552238,25.826119402985,23.3746268656716,18.6902985074626,15.3559701492537,8.46417910447761,44.1507462686567,39.1679104477611,16.7179104477611,11.2231343283582,11.7044776119403,26.5194029850746,36.5194029850746,75.5231343283582,18.4805970149253,31.5335820895522,41.8283582089552,18.3753731343283,5.27910447761194,41.1634328358208,4.41119402985074,70.6910447761194,11.8425373134328,6.90373134328358,52.876119402985,79.8067164179104,7.3
Alabama,2006,466,4628981,10.1,19.2634328358208,39.1738805970149,30.5014925373134,13.9492537313432,7.60074626865671,84.1843283582089,8.86268656716417,18.0768656716417,62.3917910447761,7.55895522388059,10.5328358208955,17.720895522388,11.4582089552238,24.1649253731343,15.3582089552238,25.826119402985,23.3746268656716,18.6902985074626,15.3559701492537,8.46417910447761,44.1507462686567,39.1679104477611,16.7179104477611,11.2231343283582,11.7044776119403,26.5194029850746,36.5194029850746,75.5231343283582,18.4805970149253,31.5335820895522,41.8283582089552,18.3753731343283,5.27910447761194,41.1634328358208,4.41119402985074,70.6910447761194,11.8425373134328,6.90373134328358,52.876119402985,79.8067164179104,10.1
Alabama,2007,554,4672840,11.9,19.2634328358208,39.1738805970149,30.5014925373134,13.9492537313432,7.60074626865671,84.1843283582089,8.86268656716417,18.0768656716417,62.3917910447761,7.55895522388059,10.5328358208955,17.720895522388,11.4582089552238,24.1649253731343,15.3582089552238,25.826119402985,23.3746268656716,18.6902985074626,15.3559701492537,8.46417910447761,44.1507462686567,39.1679104477611,16.7179104477611,11.2231343283582,11.7044776119403,26.5194029850746,36.5194029850746,75.5231343283582,18.4805970149253,31.5335820895522,41.8283582089552,18.3753731343283,5.27910447761194,41.1634328358208,4.41119402985074,70.6910447761194,11.8425373134328,6.90373134328358,52.876119402985,79.8067164179104,11.9
Alabama,2008,646,4718206,13.7,19.2634328358208,39.1738805970149,30.5014925373134,13.9492537313432,7.60074626865671,84.1843283582089,8.86268656716417,18.0768656716417,62.3917910447761,7.55895522388059,10.5328358208955,17.720895522388,11.4582089552238,24.1649253731343,15.3582089552238,25.826119402985,23.3746268656716,18.6902985074626,15.3559701492537,8.46417910447761,44.1507462686567,39.1679104477611,16.7179104477611,11.2231343283582,11.7044776119403,26.5194029850746,36.5194029850746,75.5231343283582,18.4805970149253,31.5335820895522,41.8283582089552,18.3753731343283,5.27910447761194,41.1634328358208,4.41119402985074,70.6910447761194,11.8425373134328,6.90373134328358,52.876119402985,79.8067164179104,13.7
